genome_id,genome_name,taxon_id,genome_status,strain,completion_date,bioproject_accession,biosample_accession,assembly_accession,genbank_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosomes,plasmids,contigs,genome_length,gc_content,patric_cds,refseq_cds,isolation_source,collection_date,isolation_country,geographic_location,host_name,comments,additional_metadata,complete_mash_cluster,mlst,phylon,mobile_phylons
158836.1279,Enterobacter hormaechei strain Colony328,158836,Complete,Colony328,2021-09-22T00:00:00Z,PRJNA668870,SAMN17833480,GCA_020091285.1,CP083472,Ministry of Public Health-Thailand,Complete,Illumina HiSeq,48.13x,idba_ud v. V1.1.3,1,0,1,4545660,56.0656,3979,,food,,Thailand,Thailand: Songkhla,,Establishment capacity for Whole genome Sequencing for food-borne outbreaks in Thailand,"collected_by:Department of Disease Control, Ministry of Public Health",6.0,-1,,
301105.11,Enterobacter hormaechei subsp. hormaechei strain ECC33,301105,Complete,ECC33,2022-09-19T00:00:00Z,PRJNA845926,SAMN28865091,GCA_025266795.1,"CP098486,CP098487,CP098488",Wenzhou Medical University,,Illumina HiSeq; PacBio,100.0x,SPAdes v. 3.14.1; Canu v. 2.1,1,2,3,4821919,55.17073,4663,4525,,2019,China,China:Zhejiang,Homo sapiens,a co-horbaring two MBLs Enterobacter cloacae complex strain ECC33,sample_type:mixed cultrue,2.0,78,hormaechei-hoffmannii-1,
299766.184,Enterobacter hormaechei subsp. steigerwaltii VKH10,299766,Complete,VKH10,2022-07-12T00:00:00Z,PRJNA794990,SAMN24667500,GCA_024218835.1,"CP100388,CP100389",,Complete,Illumina MiSeq; Oxford Nanopore MinION,72.0x,Unicycler v. 0.4.8-beta,1,1,2,4855498,55.399796,4649,4507,Urban soil,2020-10-22,Hong Kong,Hong Kong: Pokfulam,,,sample_type:Pure isolate;collected_by:Valerie K. Huang,6.0,-1,hormaechei-steigerwaltii-1,
69218.53,Enterobacter cancerogenus strain JY65,69218,Complete,JY65,2021-08-18T00:00:00Z,PRJNA753314,SAMN20693820,GCA_019665745.1,CP081105,Northeast Forestry University,Complete,Illumina HiSeq,5.0x,HGAP v. 1.0,1,0,1,4736684,55.770943,4405,,,2019-01-01,China,China:Harbin,Suaeda salsa,We performed comparative analysis of the genome sequences of 49 Enterobacter strains belonging to eight species.,sample_type:tissue sample,20.0,-1,cancerogenous,
208224.146,Enterobacter kobei strain STW0522-62,208224,Complete,STW0522-62,2020-10-09T00:00:00Z,PRJDB9036,SAMD00195902,GCA_015136055.1,"AP022452,AP022453,AP022462,AP022463,AP022464,AP022454,AP022455,AP022456,AP022457,AP022458,AP022459,AP022460","Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases",Complete,Sequel; NextSeq 500,550x,flye v. 2.5; minimap v. 0.2-r124; racon v.,1,12,13,5244779,54.327457,5146,5019,hospital sewage,2018-05-22,Japan,Japan:Tokyo,,"This project is related to metagenomic survey and genomic epidemiology analysis of antimicrobial resistance bacteria (in particular, carbapenem and/or beta-lactam resistant Enterobacteriaceae) in Japanese hospital sewage.",,10.0,-1,kobei,
158836.1459,Enterobacter hormaechei GX4-8L,158836,Complete,GX4-8L,2022-01-18T00:00:00Z,PRJNA714529,SAMN18311225,GCA_021497625.1,"CP071876,CP071877",,Complete,Oxford Nanopore PromethION,100.0x,Canu v. v1.3,1,1,2,4950674,54.879658,4836,4649,,2019-05,China,China:Guangxi,Swine,,sample_type:genomic assembly,9.0,1862,hormaechei-xiangfangensis,
158836.1457,Enterobacter hormaechei Y-2,158836,Complete,Y-2,2022-01-17T00:00:00Z,PRJNA794006,SAMN24596082,GCA_021491635.1,"CP090796,CP090797,CP090798,CP090799",,Complete,Illumina,100.0x,Unicycler v. 0.4.8,1,3,4,4732597,55.319607,4496,4373,urine,2017-07,China,China:Hojhot,Homo sapiens,,sample_type:Pure culture,8.0,114,hormaechei-xiangfangensis,
158836.2400,Enterobacter hormaechei B0910,158836,Complete,B0910,2023-05-10T00:00:00Z,PRJNA812965,SAMN26573028,,"CP096598,CP096599",,,Oxford Nanopore MinION,100.0x,NECAT v. v0.0.1_update20200803,1,1,2,5062124,54.699986,5457,4836,atmospheric cloud water,not collected,Hong Kong,Hong Kong,,,,2.0,102,,unchar-1
2912631.5,Enterobacter cloacae complex sp. ECL404,2912631,Complete,ECL404,2022-02-02T00:00:00Z,PRJNA800174,SAMN25233125,GCA_021869625.1,"CP091496,CP091497,CP091498,CP091499,CP091500,CP091501,CP091502,CP091503",,Complete,Oxford Nanopore,100.0x,canu v. 2.2,1,7,8,5420719,54.55542,5481,5205,Drainage,2020-10-05,China,China: Chongqing,,,sample_type:cell culture,2.0,97,hormaechei-hoffmannii-2,unchar-1
158836.1174,Enterobacter hormaechei strain FDAARGOS 1435 strain Not applicable,158836,Complete,Not applicable,2021-06-28T00:00:00Z,PRJNA231221,SAMN16357577,GCA_019048625.1,"CP077392,CP077393",US Food and Drug Administration,Complete,Pacbio; Illumina,1596.26x,"SMRT v. 9.0.0, HGAP v. 4.0, SPAdes v.",1,1,2,4762440,54.974697,4638,4475,,,Germany,Germany: Braunschweig,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.",collected_by:DSMZ,2.0,382,,
2850493.3,Enterobacter cloacae complex sp. ECL112,2850493,Complete,ECL112,2021-06-29T00:00:00Z,PRJNA737183,SAMN19789732,GCA_019056655.1,CP077661,Yongchuan Hospital of Chongqing Medical University,Complete,Illumina; Oxford Nanopore,1083.0x,canu v. 1.6,1,0,1,4727601,55.271774,4569,,sputum,2020-06-11,China,"China:Yongchuan District,Chongqing",,unknown,sample_type:metagenomic assembly,9.0,171,hormaechei-xiangfangensis,unchar-4
550.1142,Enterobacter cloacae strain AR_0053,550,Complete,AR_0053,2017-06-13T00:00:00Z,PRJNA292904,SAMN04014894,GCA_002192395.1,"CP021776,CP021777,CP021778,CP021779",Centers for Disease Control and Prevention,Complete,PacBio RSII,257x,HGAP v. 2.3,1,3,4,5132006,55.08,5173,5065,,,,,,Collection of bacterial pathogens that are assembled to challenge assays that detect carbapenemase production representing a range of gram-negative bacteria,,9.0,171,hormaechei-xiangfangensis,unchar-4
1354030.3,Enterobacter cloacae P101,1354030,Complete,P101,2013-12-31T00:00:00Z,PRJNA210654,SAMN02641647,GCA_000512375.1,CP006580.1,Washington State University,Complete,PacBio,,SMRT Analysis (HGAP) v. 2.0.0,1,0,1,5369929,54.4,5163,5135,,,,,,"Complete genome sequence of Enterobacter cloacae P101, an endophyte of switchgrass.",,19.0,735,ludwigii,
158836.434,Enterobacter hormaechei strain C4,158836,Complete,C4,2019-10-09T00:00:00Z,PRJNA550014,SAMN12289289,GCA_008931585.1,"CP042540,CP042541,CP042542,CP042543,CP042544",University of Oxford,Complete,Oxford Nanopore MiniION,3051x,Unicycler v. SEP-2017,1,4,5,4972056,55.388092,4856,4745,clinical sample,2007-06-28,Australia,Australia: Sydney,"Human, Homo sapiens","Genome sequencing (Illumina, MinION) was used to investigate a 10-year (2006-2015) outbreak of blaIMP-4-containing organisms in a burns unit (BU) in a hospital in Sydney, Australia. 154 carbapenem non-susceptible, ESBL-producing or multi-drug resistant (MDR) isolates (58 clinical, 96 environmental) were analysed, of which 113 contained blaIMP-4. This study illustrates the persistence, diversity and evolution of genetic backgrounds disseminating blaIMP-4 amongst both human and environmental reservoirs during a prolonged outbreak.",sample_type:Whole organism;collected_by:Concord Repatriation Hospital Sydney Australia,6.0,113,hormaechei-steigerwaltii-1,unchar-3
550.1665,Enterobacter cloacae strain FRM,550,Complete,FRM,2017-08-02T00:00:00Z,PRJNA375719,SAMN06344228,GCA_003444755.1,"CP019889,CP019890,CP019891",Chinese Academy of Agricultural Sciences,Complete,"Illumina, Roche 454 and ABI 3730 sequencer",approx. 200x,Velvet v. 1.1,1,2,3,5136349,55.35385,5141,4998,high concentration of fluoride,2008-10-30,China,China,,To explore genes involved in fluoride resistant,sample_type:bacteria culture,6.0,134,hormaechei-steigerwaltii-1,unchar-3
1812935.281,Enterobacter roggenkampii 13840-yvys,1812935,Complete,13840-yvys,2022-04-18T00:00:00Z,PRJNA762162,SAMN21379557,GCA_023023065.1,"CP083819,CP083820",,Complete,Oxford Nanopore MinION,10x,Unicycler v. v0.4.8,1,1,2,4845874,55.94939,4714,4584,sputum,2013-09,China,China,Homo sapiens,,collected_by:Yushan Cui,11.0,702,roggenkampii,
158836.977,Enterobacter hormaechei strain MSB1_8J,158836,Complete,MSB1_8J,2020-12-20T00:00:00Z,PRJNA646837,SAMN17054651,GCA_016126855.1,"CP065939,CP065940,CP065941,CP065942",Monash University,Complete,Oxford Nanopore MinION; Illumina HiSeq,38.0x,Unicycler v. 0.4,1,3,4,5201113,54.731747,5154,4937,rectal swab,2014,Australia,Australia: Melbourne,"Human, Homo sapiens",Whole genome sequencing of antimicrobial resistant organisms from an Australian ICU,"collected_by:Microbiology Unit & Department of Infectious Diseases, Alfred Hospital",8.0,114,hormaechei-xiangfangensis,unchar-1
2077136.3,Enterobacter cloacae complex sp. FDA-CDC-AR_0164,2077136,Complete,FDA-CDC-AR_0164,2018-04-25T00:00:00Z,PRJNA292902,SAMN04015005,GCA_003071645.1,CP028950,Centers for Disease Control and Prevention,Complete,PacBio RSII,330x,HGAP v. 2.3,1,,1,4849791,54.43888,4726,4648,,,,,,Collection of bacterial pathogens that consist of carbapenemase-producing Enterobacteriaceae representing a diversity of species,,19.0,1724,ludwigii,
158836.198,Enterobacter hormaechei strain WCHEH020038,158836,Complete,WCHEH020038,2018-08-26T00:00:00Z,PRJNA415108,SAMN08027258,GCA_003428425.1,"CP031726,CP031722,CP031723,CP031724,CP031725","West China Hospital, Sichuan University",Complete,Illumina HiSeq; MinION,200.0x,Unicycler v. 0.4.6,1,4,5,5081310,54.826805,5049,4953,,2016-11-02,China,China: Sichuan: Chengdu,"Human, Homo sapiens",The Genome sequencing and assembly of Enterobacter spp.,sample_type:Pure Culture,8.0,418,hormaechei-xiangfangensis,unchar-1;unchar-2
158836.167,Enterobacter hormaechei strain SCEH020042,158836,Complete,SCEH020042,2018-04-16T00:00:00Z,PRJNA415108,SAMN08027257,GCA_003051945.1,"CP028538,CP028536,CP028537","West China Hospital, Sichuan University",Complete,Illumina HiSeq; MinION,200.0x,Unicycler v. 0.4.4,1,2,3,5149980,54.57561,5139,5008,,2016-10-10,China,China: Sichuan,"Human, Homo sapiens",The Genome sequencing and assembly of Enterobacter spp.,sample_type:Pure Culture,2.0,145,,
1812935.85,Enterobacter roggenkampii strain RHBSTW-00123,1812935,Complete,RHBSTW-00123,2020-07-24T00:00:00Z,PRJNA605147,SAMN15148498,GCA_013708155.1,"CP055397,CP055398,CP055399,CP055400,CP055403,CP055401,CP055402",University of Oxford,Complete,Hybrid: Illumina and PACBIO_SMRT,101.793619665256x,Unicycler v. v0.4.7,1,6,7,4944024,55.5327,4813,4645,Wastewater influent sample,2017,United Kingdom,United Kingdom,,"These isolates represent a dataset assembled by the REHAB team: A collaborative effort between the Animal and Plant Health Agency, the UK Centre for Ecology &amp\; Hydrology, Thames Water, Public Health England, and the University of Oxford. The focus of this study is on understanding bacterial diversity in four important clinical genera (Escherichia, Klebsiella, Enterobacter and Citrobacter), and strain, MGE and resistance gene flow amongst environmental and farm animal reservoirs, and in rivers around sewage treatment plants, in Oxfordshire, UK, in 2017.","sample_type:culture;biomaterial_provider:Modernising Medical Microbiology on behalf of the REHAB Consortium, Level 7, John Radcliffe Hospital, Oxford, OX3 9DU, UK",12.0,1168,roggenkampii,
881260.103,Enterobacter bugandensis strain FDAARGOS_1496 strain Not applicable,881260,Complete,Not applicable,2021-09-23T00:00:00Z,PRJNA231221,SAMN21218852,GCA_020099255.1,"CP083643,CP083644",US Food and Drug Administration,Complete,Pacbio; Illumina,1334.33x,"SMRT v. 9.0.0, HGAP v. 4.0",1,1,2,5022873,55.438393,4841,4699,,,Germany,Germany: Braunschweig,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.",collected_by:DSMZ,18.0,495,bugandensis,unchar-1
158836.1366,Enterobacter hormaechei strain 59732CZ,158836,Complete,59732CZ,2021-11-01T00:00:00Z,PRJNA772913,SAMN22377432,GCA_020695485.1,"CP085748,CP085749,CP085750,CP085751,CP085752",Charles University in Prague,Complete,PacBio Sequel,216x,Microbial assembly v. v.1,1,4,5,5010845,55.29828,4954,4799,urine,2020-09,Czech Republic,Czech Republic: South Bohemian Region,Homo sapiens,Molecular characterization of VIM-producing Enterobacterales from Czech hospitals,collected_by:Nemocnice Ceske Budejovice,6.0,1735,hormaechei-steigerwaltii-1,
158836.2098,Enterobacter hormaechei 2020CK-00204,158836,Complete,2020CK-00204,2023-01-17T00:00:00Z,PRJNA812595,SAMN15907139,,"CP115689,CP115690,CP115691,CP115692,CP115693,CP115694,CP115695",,,Oxford Nanopore GridION,20.0x,Unicycler v. 0.5.0,1,6,7,5166182,55.208508,5096,4937,Tracheal Aspirate/Wash,1929-09-24,USA,USA,Homo sapiens,,,6.0,536,,
550.3089,Enterobacter cloacae strain FDAARGOS 1431 strain Not applicable,550,Complete,Not applicable,2021-06-28T00:00:00Z,PRJNA231221,SAMN16357573,GCA_019047105.1,"CP077211,CP077212,CP077213",US Food and Drug Administration,Complete,Pacbio; Illumina,1538.93x,"SMRT v. 9.0.0, HGAP v. 4.0",1,2,3,5602625,54.593266,5635,5379,,,Germany,Germany: Braunschweig,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.",collected_by:DSMZ,21.0,1,cloacae,unchar-3
158836.972,Enterobacter hormaechei strain Eho-E3,158836,Complete,Eho-E3,2020-12-10T00:00:00Z,PRJNA599404,SAMN13747520,GCA_015910345.1,"CP049021,CP049022,CP049023,CP049024,CP049025,CP049026,CP049027",Public Health Ontario,Complete,Oxford Nanopore MiniION,100x,Unicycler v. 0.4.8-BETA,1,6,7,5639918,54.48441,5711,5422,surface water,2015-08-04,Canada,Canada:Ontario,,"Epidemiological and microbiological analyses of clinical and environmental Verona Integron encoded Metallo beta Lactamase producing Enterobacteriaceae isolates demonstrate spread to local healthcare facilities and contamination of environmental water in Southern Ontario, Canada, which is probably due to horizontal gene transfer and clonal spread of blaVIM carrying Enterobacter hormaechei.",collected_by:Public Health Ontario,4.0,93,hormaechei-steigerwaltii-2,unchar-1
1686392.3,Enterobacter sp. MGH120,1686392,Complete,MGH120,2015-07-21T00:00:00Z,PRJNA271899,SAMN03280184,GCF_001037725.1,LETH00000000,Broad Institute,Complete,Illumina,134.0x,allpaths v. R48559,,,1,4607622,55.51,4331,4228,,2014,,,"Human, Homo sapiens",Sequencing of Carbapenem resistant bacteria Genome sequencing,,6.0,79,hormaechei-steigerwaltii-1,
61645.92,Enterobacter asburiae strain ENIPBJ-CG1,61645,Complete,ENIPBJ-CG1,2016-04-08T00:00:00Z,PRJNA314550,SAMN04538166,GCA_001617645.1,CP014993,"Institute of Pathogen Biology,Chinese Academy Medical Sciences & Peking Union Medical College",Complete,Sanger dideoxy sequencing; IonTorrent;,missing,Newbler v. v2.8,,,1,4648696,55.76,4794,4725,,2014-07-03,China,China:Beijing,"Human, Homo sapiens",It is a project about whole genome sequencing of several clinical bacterias in China;many frameshifted proteins,,16.0,-1,asburiae,
1812935.207,Enterobacter roggenkampii strain POL1,1812935,Complete,POL1,2021-11-16T00:00:00Z,PRJNA777725,SAMN22871631,GCA_020881955.1,"CP086405,CP086406,CP086407",Shandong First Medical University,Complete,Oxford Nanopore; BGISEQ,861.0x,Canu v. 1.5,1,2,3,4976557,55.783947,4797,4655,water,2020-08,China,China:Jinan,,Complete genome of POL1,sample_type:water,12.0,272,roggenkampii,
158836.1229,Enterobacter hormaechei strain ECC46,158836,Complete,ECC46,2021-08-10T00:00:00Z,PRJNA752244,SAMN20587856,GCA_019537255.1,JAIEUE000000000,Shenzhen People's Hospital,Complete,Oxford Nanopore,110x,Unicycler v. 0.4.8,1,7,8,5413699,54.72275,5380,5149,urine,2015,China,China: Shenzhen,Homo sapiens,Enterobacter cloacae complex,collected_by:Yang Ji,5.0,133,hormaechei-steigerwaltii-3,unchar-1
2850492.3,Enterobacter cloacae complex sp. ECL78,2850492,Complete,ECL78,2021-06-29T00:00:00Z,PRJNA737181,SAMN19770947,GCA_019056615.1,CP077660,Yongchuan Hospital of Chongqing Medical University,Complete,Illumina; Oxford Nanopore,1008.0x,canu v. 1.6,1,0,1,4770506,55.37427,4597,,bile,2018-09-23,China,"China:Yongchuan District,Chongqing",,unknown,sample_type:metagenomic assembly,8.0,-1,hormaechei-xiangfangensis,
550.252,Enterobacter cloacae strain FDAARGOS_68,550,Complete,FDAARGOS_68,2015-04-24T00:00:00Z,PRJNA231221,SAMN02934519,GCF_000783855.1,JTBO00000000,US Food and Drug Administration,Complete,PacBio,17.04x,HGAP v. 2.0,,,1,4641947,55.72,4463,4055,Rectal Swab,2013-10-22,USA,United States,"Human, Homo sapiens","FDA, in collaboration with the National Center for Biotechnology Information (NCBI), the Department of Defense (DoD) and the Institute for Genome Sciences at the University of Maryland, established a publicly available, well-curated reference database (FDA-ARGOS: dAtabase for Regulatory Grade micrObial Sequences\; BioProject 231221) of regulatory-grade-quality sequences from diverse infectious microorganisms. This database, which is still growing, comprises data collected from multiple collaborators. Diagnostic test manufacturers develop sequence-based tests to identify infectious agents and/or to detect resistance or virulence markers\; will use this database to advance their development programs and to support the regulatory science review of such tests. This work will facilitate the development of these tests, which are aimed at improving patient outcomes. Continued success of the database and adoption by the community is contingent on populating and curating the database, which in turn will support development of guidance and standards for clinical use of this technology. Discussions held at a relating public workshop on advancing regulatory science for high throughput sequencing devices for microbial identification and detection of antimicrobial resistance markers were essential to establish the safety and effectiveness of these devices.",collected_by:Children's National Hospital;isolate:not applicable,6.0,-1,hormaechei-steigerwaltii-1,
158836.798,Enterobacter hormaechei strain RHBSTW-00844,158836,Complete,RHBSTW-00844,2020-07-27T00:00:00Z,PRJNA605147,SAMN15148712,GCA_013731155.1,"CP056155,CP056156,CP056157,CP056158",University of Oxford,Complete,Hybrid: Illumina and OXFORD_NANOPORE,172.815471028129x,Unicycler v. v0.4.7,1,3,4,4888880,55.41617,4800,4612,Wastewater influent sample,2017,United Kingdom,United Kingdom,,"These isolates represent a dataset assembled by the REHAB team: A collaborative effort between the Animal and Plant Health Agency, the UK Centre for Ecology &amp\; Hydrology, Thames Water, Public Health England, and the University of Oxford. The focus of this study is on understanding bacterial diversity in four important clinical genera (Escherichia, Klebsiella, Enterobacter and Citrobacter), and strain, MGE and resistance gene flow amongst environmental and farm animal reservoirs, and in rivers around sewage treatment plants, in Oxfordshire, UK, in 2017.","sample_type:culture;biomaterial_provider:Modernising Medical Microbiology on behalf of the REHAB Consortium, Level 7, John Radcliffe Hospital, Oxford, OX3 9DU, UK",3.0,108,hormaechei-oharae,
